source_id,source_telescope,disposition,period,period_err_upper,period_err_lower,duration,duration_err_upper,duration_err_lower,transit_midpoint,transit_midpoint_err_upper,transit_midpoint_err_lower,depth,depth_err_upper,depth_err_lower,planet_radius,planet_radius_err_upper,planet_radius_err_lower,equilibrium_temp,insolation_flux,stellar_magnitude,stellar_temp,stellar_temp_err_upper,stellar_temp_err_lower,stellar_radius,stellar_radius_err_upper,stellar_radius_err_lower,stellar_logg,stellar_logg_err_upper,stellar_logg_err_lower,ra,dec,is_outlier
1018.01,TESS,FALSE POSITIVE,4.95912,0.00016,-0.00016,2.509,0.13,-0.13,2458492.78078,0.00073,-0.00073,7440.0,197.962,-197.962,22.9123,3.28055,-3.28055,1419.0,673.55,10.6254,5889.0,124.3,-124.3,2.0,0.09,-0.09,3.86,0.07,-0.07,111.716019,-50.266567,False
1019.01,TESS,CANDIDATE,5.2341008,1.2e-06,-1.2e-06,3.7078139,0.0125204,-0.0125204,2459232.446864,0.00012,-0.00012,20796.9416293,50.80361,-50.80361,24.2931408,0.7497171,-0.7497171,1574.8381848,1453.6663847,10.6348,7645.0,134.4,-134.4,1.56203,0.0481257,-0.0481257,4.3,0.08,-0.08,120.147994,-54.878552,False
102.01,TESS,CONFIRMED,4.4119378,8e-07,-8e-07,3.65,0.011,-0.011,2460187.916571,0.000126,-0.000126,15062.0,69.1814,-69.1814,15.4706,0.691963,-0.691963,1408.0,653.252,9.7109,6280.0,,,1.21,0.05,-0.05,4.32092,,,87.139821,-63.988329,False
1020.01,TESS,FALSE POSITIVE,3.28892,0.00066,-0.00066,3.793,0.202,-0.202,2458521.29108,0.00241,-0.00241,10518.9,530.608,-530.608,,,,3661.0,29832.6,10.7173,8734.2,283.6,-283.6,,,,4.1,1.45,-1.45,128.381976,-43.828421,True
1021.01,TESS,FALSE POSITIVE,1.90879,0.00035,-0.00035,1.909,0.231,-0.231,2458492.90429,0.00426,-0.00426,618.482,1.43774,-1.43774,3.34688,0.217749,-0.217749,1561.0,985.807,10.5551,6022.6,133.5,-133.5,1.22,0.05,-0.05,4.52,0.39,-0.39,119.30075,-42.999149,False
1022.01,TESS,FALSE POSITIVE,3.09574,0.00677,-0.00677,4.475,1.196,-1.196,2458547.448,0.00834,-0.00834,380.0,,,3.4262,0.778713,-0.778713,3230.0,18087.9,8.72924,6084.0,111.0,-111.0,1.41,0.05,-0.05,4.13,0.3,-0.3,162.96491,-5.788708,True
1025.01,TESS,CANDIDATE,9.6837921,9e-07,-9e-07,2.4006056,0.0086986,-0.0086986,2458545.149804,9.2e-05,-9.2e-05,4238.2399008,15.838111,-15.838111,,,,1914.698926,3176.3106916,5.5324,8598.7,1245.7,-1245.7,,,,,,,142.521159,-51.517114,True
1026.01,TESS,FALSE POSITIVE,14.2628757,3.85e-05,-3.85e-05,6.9350494,0.466316,-0.466316,2460720.807674,0.00363,-0.00363,913.2067174,37.2772746,-37.2772746,2.4765813,0.1510812,-0.1510812,980.3628831,153.2069421,9.9138,5690.0,129.0,-129.0,0.853898,0.0413895,-0.0413895,4.58,0.08,-0.08,125.434634,-51.759442,True
1027.01,TESS,CANDIDATE,3.2834565,4.6e-06,-4.6e-06,1.537,0.709,-0.709,2460037.86905,0.001406,-0.001406,1558.0,185.42,-185.42,2.87648,0.314177,-0.314177,992.0,161.092,10.2103,4272.0,122.7,-122.7,0.68,0.06,-0.06,4.6,0.11,-0.11,167.133275,-29.653135,False
1027.02,TESS,CANDIDATE,11.02875,3.54e-05,-3.54e-05,2.715,0.404,-0.404,2460032.53325,0.002913,-0.002913,1694.0,104.432,-104.432,2.76586,0.268927,-0.268927,548.0,15.0463,10.2103,4272.0,122.7,-122.7,0.68,0.06,-0.06,4.6,0.11,-0.11,167.133275,-29.653135,False
1027.03,TESS,CANDIDATE,5.0113292,1.2e-05,-1.2e-05,1.024,0.471,-0.471,2460032.57304,0.002567,-0.002567,1210.0,182.035,-182.035,2.52314,0.302798,-0.302798,567.0,17.1793,10.2103,4272.0,122.7,-122.7,0.68,0.06,-0.06,4.6,0.11,-0.11,167.133275,-29.653135,False
1028.01,TESS,FALSE POSITIVE,1.01606,0.00034,-0.00034,2.843,0.278,-0.278,2458544.48066,0.00412,-0.00412,240.0,0.375709,-0.375709,1.20704,0.0989898,-0.0989898,2023.0,2784.04,7.9059,4634.0,120.9,-120.9,0.68,0.05,-0.05,4.64,0.09,-0.09,157.098337,-51.705409,True
1029.01,TESS,FALSE POSITIVE,36.22214,0.00046,-0.00046,5.107,0.188,-0.188,2458365.89313,0.00096,-0.00096,7170.0,228.173,-228.173,,,,,,6.841,,,,,,,,,,88.73909,-65.958839,True
103.01,TESS,CONFIRMED,3.547854,0.000149,-0.000149,3.494333,0.049205,-0.049205,2458327.25256,0.000586,-0.000586,10424.3718,123.359314,-123.359314,14.581841,0.196435,-0.196435,1504.858953,1212.004376,11.5232,6351.0,,,1.4,,,4.22896,,,312.457488,-24.428694,False
1030.01,TESS,FALSE POSITIVE,12.1246519,1.03e-05,-1.03e-05,4.612,0.667,-0.667,2460054.783937,0.000628,-0.000628,7279.0,6484.95,-6484.95,17.6729,2.59688,-2.59688,1057.0,207.32,9.5706,4807.6,60.0,-60.0,1.07,0.03,-0.03,4.17,0.36,-0.36,155.831478,-57.590248,False
1031.01,TESS,FALSE POSITIVE,5.652623,2.54e-05,-2.54e-05,3.434,0.475,-0.475,2459304.837939,0.002852,-0.002852,1250.0,26.0133,-26.0133,8.94354,1.13988,-1.13988,2011.0,2717.06,9.7318,6415.4,103.2,-103.2,1.92,0.08,-0.08,3.98,0.08,-0.08,140.88389,-67.026006,True
1032.01,TESS,CANDIDATE,5.6643704,1.09e-05,-1.09e-05,3.8087395,0.0887935,-0.0887935,2459283.828685,0.000897,-0.000897,3491.8232968,95.25267,-95.25267,14.7738943,0.7471176,-0.7471176,2385.8536488,7657.6621505,9.7611,10395.0,320.6,-320.6,2.3383701,0.109357,-0.109357,4.13,0.07,-0.07,159.221506,-42.541639,True
1033.01,TESS,FALSE POSITIVE,29.0160175,6.47e-05,-6.47e-05,5.345,0.314,-0.314,2460195.100648,0.002821,-0.002821,1389.0,36.0326,-36.0326,6.77406,,,,33.2234,10.0163,6113.1,,,2.01,,,,,,87.282586,-60.498444,True
1034.01,TESS,FALSE POSITIVE,3.6404389,8.2e-06,-8.2e-06,2.5339234,0.5744699,-0.5744699,2460768.617427,0.002617,-0.002617,476.3077321,35.1115139,-35.1115139,3.7025342,0.1738907,-0.1738907,2783.098027,9941.2265514,9.8174,9810.0,173.7,-173.7,1.60776,0.0427739,-0.0427739,4.43,0.06,-0.06,134.441752,-49.000578,True
1035.01,TESS,CANDIDATE,6.0744477,5.9e-06,-5.9e-06,2.4954821,0.0518881,-0.0518881,2459286.872605,0.000437,-0.000437,5982.5212406,93.93912,-93.93912,30.9493217,11.697444,-11.697444,1583.9398898,1487.5644344,10.1126,5964.0,128.4,-128.4,2.4303801,0.151568,-0.151568,3.7,0.09,-0.09,144.150273,-61.583182,True
1036.01,TESS,CANDIDATE,3.7795212,4e-06,-4e-06,2.952,0.158,-0.158,2460037.172273,0.001095,-0.001095,2761.0,60.2474,-60.2474,5.98375,0.311897,-0.311897,1294.0,466.528,10.2855,5771.0,132.3,-132.3,1.18,0.06,-0.06,4.31,0.08,-0.08,157.867112,-42.240448,False
1037.01,TESS,FALSE POSITIVE,1.2025238,6.7e-06,-6.7e-06,1.991,0.052,-0.052,2459331.124512,0.003174,-0.003174,390.0,107.57,-107.57,6.31106,1.99504,-1.99504,5952.0,208477.0,9.0211,9158.0,171.4,-171.4,1.74,0.05,-0.05,4.32,0.07,-0.07,147.385172,-63.306478,True
1038.01,TESS,FALSE POSITIVE,3.2235985,1.38e-05,-1.38e-05,2.159,0.452,-0.452,2459273.371643,0.002025,-0.002025,680.0,1.13,-1.13,5.51341,,,,2064.8,8.7157,8904.0,239.9,-239.9,2.17,,,4.09,1.36,-1.36,128.454638,-49.940347,True
1039.01,TESS,CANDIDATE,4.420125,8.5e-06,-8.5e-06,3.956,1.259,-1.259,2460031.2166,0.00071,-0.00071,2466.0,196.3,-196.3,,,,,,8.5483,,,,,,,,,,149.688545,-58.760453,False
104.01,TESS,CONFIRMED,4.0872956,2.3e-06,-2.3e-06,5.586113,0.0508755,-0.0508755,2460150.608677,0.000682,-0.000682,3572.1712499,35.689426,-35.689426,13.6237732,0.6518233,-0.6518233,1755.0767383,2242.3605401,9.8638,6036.0,,,2.2186699,0.102573,-0.102573,3.93359,,,319.949697,-58.148933,False
1043.01,TESS,FALSE POSITIVE,1.4415577,7.4e-06,-7.4e-06,2.349,0.682,-0.682,2459985.770425,0.003745,-0.003745,507.0,54.9645,-54.9645,3.61078,0.26004,-0.26004,3174.0,16861.8,9.5719,6902.0,135.7,-135.7,1.52,0.06,-0.06,4.25,0.09,-0.09,128.302319,-52.714202,True
1044.01,TESS,CANDIDATE,1.0085089,9e-07,-9e-07,1.642,0.343,-0.343,2460037.194672,0.000793,-0.000793,3051.0,688.931,-688.931,,,,,,10.0031,5215.2,1166.8,-1166.8,,,,,,,153.811023,-58.766393,False
