source_id,source_telescope,disposition,period,period_err_upper,period_err_lower,duration,duration_err_upper,duration_err_lower,transit_midpoint,transit_midpoint_err_upper,transit_midpoint_err_lower,depth,depth_err_upper,depth_err_lower,planet_radius,planet_radius_err_upper,planet_radius_err_lower,equilibrium_temp,insolation_flux,stellar_magnitude,stellar_temp,stellar_temp_err_upper,stellar_temp_err_lower,stellar_radius,stellar_radius_err_upper,stellar_radius_err_lower,stellar_logg,stellar_logg_err_upper,stellar_logg_err_lower,ra,dec
K00427.03,KOI,CONFIRMED,117.033521,0.001124,-0.001124,6.822,0.209,-0.209,245.65151,0.00728,-0.00728,770.4,37.4,-37.4,2.68,0.29,-0.32,349.0,3.49,14.621,5312.0,79.0,-79.0,0.986,0.107,-0.117,4.384,0.137,-0.074,283.0228,47.261131
K01289.02,KOI,FALSE POSITIVE,386.39833,0.0123,-0.0123,8.519,0.874,-0.874,365.94877,0.00848,-0.00848,748.0,313.0,-313.0,2.2,0.36,-0.23,214.0,0.49,15.399,5284.0,185.0,-185.0,0.812,0.133,-0.082,4.523,0.076,-0.102,297.71039,48.083832
K00481.02,KOI,CONFIRMED,1.55400389,9.87e-07,-9.87e-07,1.7664,0.0161,-0.0161,169.830304,0.000523,-0.000523,465.8,6.6,-6.6,1.59,0.31,-0.12,1313.0,704.5,14.701,5409.0,162.0,-146.0,0.746,0.145,-0.058,4.609,0.03,-0.12,293.16016,48.881191
K00481.03,KOI,CONFIRMED,34.25951418,7.198e-05,-7.198e-05,4.7743,0.0553,-0.0553,183.23718,0.00166,-0.00166,1072.5,16.8,-16.8,2.41,0.46,-0.19,468.0,11.36,14.701,5409.0,162.0,-146.0,0.746,0.145,-0.058,4.609,0.03,-0.12,293.16016,48.881191
K00081.01,KOI,FALSE POSITIVE,23.8761144,2.239e-05,-2.239e-05,9.3113,0.0271,-0.0271,143.07006,0.000773,-0.000773,1611.7,8.5,-8.5,10.45,3.98,-1.71,1481.0,1135.6,11.409,9974.0,275.0,-413.0,2.533,0.965,-0.414,4.048,0.115,-0.214,293.78574,45.01849
K00482.01,KOI,FALSE POSITIVE,4.99270186,1.125e-05,-1.125e-05,3.1008,0.0878,-0.0878,169.55323,0.00189,-0.00189,557.4,15.7,-15.7,26.6,7.08,-3.8,1051.0,288.29,14.917,5724.0,152.0,-152.0,0.951,0.253,-0.136,4.429,0.101,-0.188,296.80893,48.965389
K00483.01,KOI,CONFIRMED,4.79860021,5.329e-06,-5.329e-06,3.0384,0.0367,-0.0367,173.257466,0.000839,-0.000839,817.4,10.6,-10.6,2.51,0.62,-0.2,978.0,216.54,14.675,5631.0,152.0,-169.0,0.847,0.207,-0.069,4.557,0.042,-0.168,286.55103,49.418739
K00255.03,KOI,FALSE POSITIVE,7.7333361,8.831e-05,-8.831e-05,2.807,0.283,-0.283,133.58981,0.00852,-0.00852,126.9,15.6,-15.6,0.57,0.04,-0.05,479.0,12.41,15.108,3780.0,76.0,-83.0,0.511,0.036,-0.043,4.746,0.042,-0.031,287.85812,42.542629
K00528.01,KOI,CONFIRMED,9.57665962,1.065e-05,-1.065e-05,3.3603,0.0295,-0.0295,176.683759,0.0009,-0.0009,746.8,9.9,-9.9,2.88,0.51,-0.46,846.0,121.26,14.598,5386.0,80.0,-72.0,1.076,0.191,-0.173,4.322,0.159,-0.13,287.1011,46.896481
K00528.02,KOI,CONFIRMED,96.6781852,0.000277,-0.000277,5.6957,0.0832,-0.0832,140.18339,0.00251,-0.00251,951.3,21.6,-21.6,3.29,0.59,-0.53,392.0,5.55,14.598,5386.0,80.0,-72.0,1.076,0.191,-0.173,4.322,0.159,-0.13,287.1011,46.896481
